,messid,did,bsid,nseq,rssi,NBAntennes,distpwr,distbs,lat,lng
35,573dd65e3e952e19128fefa4,476285.0,215082,47.5,-6356.500000002298,50,288512.2855571724,474.06769900128086,39.791687000100005,-104.992791761
36,573df74a864fce1a9a339013,476185.0,69693,20.0,-2207.6666666673,18,92264.04759754476,67.39380964914628,39.8114847895,-105.044570656
37,573e02053e952e1912aa2a67,473953.0,9223,5.0,-353.5,3,12658.006592065363,24.421255116211036,39.7261901688,-105.04268789999999
38,573e04c4f0fe6e735a97fdd4,473953.0,20808,8.0,-875.3333333329999,7,39483.877166876744,54.79007524329428,39.7259908643,-105.04253461200001
39,573e1599864fce1a9a4439d7,476185.0,110183,29.0,-3553.333333333,28,158839.60552220806,226.93602143734716,39.827401799499995,-105.05293932299999
40,573e1655f0fe6e735aa12dda,473335.0,3846,1.0,-107.0,1,1635.7358768386061,6.267112661703409,39.7511970002,-104.99159507200001
41,573e1c2c864fce1a9a479cc4,473335.0,6367,1.5,-253.0,2,11279.251785629052,35.42713461224876,39.6104645231,-104.958792463
42,573e209ff0fe6e735aa66d45,473953.0,31334,5.0,-625.8333333329999,5,24166.569565909464,41.25794435146815,39.7290496285,-104.97268658799999
43,573ead753e952e191202f749,476185.0,50581,13.0,-1663.4999999990002,13,81953.93604003363,59.35458351112717,39.8239361542,-105.054283177
44,573eb17df0fe6e735af0c068,476185.0,57306,16.5,-2093.1666666687,17,83846.50504372238,88.17258918062522,39.8180064236,-105.05041640399999
45,573eb612f0fe6e735af34fd7,476185.0,133099,52.0,-3999.6666666666997,33,139930.06439956612,250.07859201544326,39.8141178467,-105.03375687
46,573eb879f0fe6e735af4c839,476185.0,239166,52.5,-6748.5000000009995,55,260502.27504541815,462.1161207686347,39.8137513929,-105.03426722299999
47,573ebac3864fce1a9a9a80ea,476285.0,55580,14.0,-1354.0,11,51041.06033521991,85.77240311464192,39.7751611858,-104.98875067
48,573f08d3864fce1a9acf4c67,473335.0,2841,1.0,-117.0,1,2908.795430044057,20.466960762786623,39.6157866434,-104.963066525
49,573f2332864fce1a9adff7c9,473335.0,2841,1.0,-121.333333333,1,3732.901346984605,20.466960762786623,39.6101857515,-104.95877240600001
50,573f412c3e952e191262f60c,476185.0,69439,21.0,-2250.833333333,18,89327.1507568834,117.2259746601514,39.8270891448,-105.05235145799999
51,573f52e03e952e19126d3a01,476314.0,4056,0.0,-128.0,1,5479.149863314579,4.628649003613509,39.7673806523,-105.011089163
52,573f5b80f0fe6e735a5bc575,476314.0,1859,1.5,-121.5,1,3768.887544506381,9.446838215184547,39.720077734899995,-104.979574021
53,573f6cb0f0fe6e735a647ef5,473335.0,2841,1.0,-116.666666667,1,2853.512937332074,20.466960762786623,39.6104761996,-104.95868212399999
54,573f888f3e952e1912888d09,476306.0,36796,11.5,-1242.0,10,46024.550907161254,86.33983168379181,39.8201563254,-105.215745959
55,574002a6864fce1a9a52c3ef,476185.0,83777,19.0,-2699.833333333,21,126188.3327690788,101.87080494179614,39.8218868552,-105.056490544
56,57400baa864fce1a9a5766ae,476185.0,28616,11.0,-1131.3333333330002,9,49342.93209991338,45.73472757868855,39.820820046,-105.054221704
57,57400e1af0fe6e735ab1c50f,476185.0,38164,11.0,-1556.6666666659999,12,78888.01914222843,56.870205022427626,39.8227940293,-105.05447611700001
58,574015273e952e1912cd68fb,476185.0,62924,22.0,-2242.166666667,18,91642.04163522398,160.46505349074238,39.8279165418,-105.05201049
59,574017b33e952e1912cf192c,476185.0,77670,26.0,-2666.499999999,21,121200.10815058672,111.05438454666677,39.8165694336,-105.056034958
60,574019f9f0fe6e735ab93c5a,476185.0,76708,25.0,-2666.6666666666997,21,128015.59166275442,106.19817040121178,39.8154524998,-105.054336546
61,57404805f0fe6e735ad63322,476185.0,50173,12.0,-1664.5,13,80650.38529678166,97.3161870896882,39.827945386799996,-105.05176833899999
62,57404e93864fce1a9a81ec5f,476185.0,50900,4.0,-1615.5,13,60980.74535252516,37.81807930413933,39.7837556634,-105.03558977600001
63,57409a4a3e952e19121c2b8d,476185.0,85795,30.5,-3049.6666666680003,24,138798.19887578327,189.6334422933106,39.8273499621,-105.052829519
64,574159fb3e952e19127958c7,476185.0,66250,21.0,-2301.4999999990005,18,106218.53737896959,88.67884265185867,39.8179190601,-105.03956127100001
65,57416072f0fe6e735a62e5f1,476185.0,4613,4.0,-269.0,2,15937.604285122685,4.302594212545979,39.7999417353,-105.049607043
66,574162c93e952e19127de34f,476185.0,44259,10.5,-1549.6666666669998,12,81009.76985375157,36.1368940962512,39.7984543306,-105.04851367100001
67,57416d9ff0fe6e735a6a74e8,476185.0,68370,18.0,-2315.1666666677,18,116991.03584253525,98.81925009292785,39.8154581656,-105.054650451
68,57417408864fce1a9a185b51,473335.0,2841,1.0,-127.666666667,1,5375.017046252927,20.466960762786623,39.6104506056,-104.958854494
69,5741892e3e952e19129472e4,476185.0,102306,30.5,-3421.833333334,27,155889.77202026578,198.79793795970014,39.827495205,-105.05259979200001
70,57421b1cf0fe6e735ac61f57,476314.0,8356,2.0,-123.0,1,4108.7827545643195,7.850815575432482,39.7743191625,-105.001094851
71,57421d95864fce1a9a732f6b,476314.0,12453,3.0,-242.0,2,7399.885046479734,10.388650355436987,39.7673095186,-105.011050214
72,5742234cf0fe6e735ac9fd47,476314.0,25116,5.0,-735.5,6,26013.850478351782,37.28784564416234,39.7676103696,-105.010814717
73,574225a9f0fe6e735acb288b,476314.0,25436,5.5,-773.6666666670001,6,37286.82190517212,34.03995272463217,39.7674753065,-105.010848144
74,5742280cf0fe6e735acc5e44,476306.0,40554,8.0,-1173.0,9,61161.967278424156,160.25854613961562,39.8257738081,-105.216759042
75,57426d113e952e191208ba12,476306.0,19233,8.5,-769.166666667,6,41541.273520087554,105.1557687010578,39.8251924549,-105.21784742
76,57429ef53e952e1912218dcc,473335.0,5446,3.0,-267.666666667,2,16307.358286591389,39.87184611430154,39.613824178499996,-104.962531911
77,5742a207f0fe6e735a06c8b0,473335.0,2841,1.0,-129.66666666700002,1,6030.868318083424,20.466960762786623,39.6232469195,-104.961531244
78,5742a25ef0fe6e735a06fa20,476185.0,34505,10.5,-1139.666666667,9,50825.23699381519,49.97992311543874,39.8238153247,-105.054046863
79,5742a4b5864fce1a9ab4a51b,476185.0,67852,18.0,-1876.6666666663,15,83311.98519049771,81.00635591764863,39.8178760025,-105.050482909
80,5742a501864fce1a9ab4cdec,473335.0,13856,3.0,-649.0,5,31749.34796930186,78.56153680952207,39.602208409,-104.955276715
81,5742a673f0fe6e735a092cc5,473335.0,8231,3.0,-394.5,3,20156.406152437627,37.393898389075375,39.597551779899995,-104.954286975
82,5742a956864fce1a9ab73e95,476185.0,54077,15.0,-1920.9999999996999,15,91810.17868899579,70.21017048050047,39.8197661048,-105.054096781
83,5742abab864fce1a9ab8962b,473335.0,4464,3.0,-248.66666666700002,2,10000.453696875677,28.851723566699462,39.6651046312,-105.012557805
84,5742abbff0fe6e735a0c2e66,476185.0,57841,14.0,-1758.0,14,72800.68882074747,81.98012061265577,39.821991702,-105.04777382700001
85,5742ac59864fce1a9ab8fc9e,476512.0,3571,2.0,-136.0,1,8683.86731884152,12.882829417302839,39.6604455456,-104.985361599
86,5742ad113e952e1912293ec7,473335.0,2605,0.0,-122.0,1,3878.9410477424826,19.404885351514917,39.672500426999996,-105.012104494
87,5742ae253e952e191229d001,476185.0,48947,13.5,-1506.5,12,60958.202057193506,64.12325362710675,39.8179576099,-105.039551086
88,5742ae8f864fce1a9aba39f6,476512.0,9201,5.0,-402.5,3,23954.694707293154,46.5703933993916,39.684796445,-105.000553684
89,5742b3d2f0fe6e735a10e90e,476285.0,87767,21.0,-2770.999999999,22,119968.99622161059,172.1668822803623,39.784359520100004,-104.980627341
90,5742b3e3864fce1a9abd7cf2,473335.0,3579,0.0,-106.0,1,1544.2342452605765,3.4177253931837424,39.7146231683,-105.022584344
91,5742b3f2864fce1a9abd8694,476512.0,7489,3.0,-387.666666667,3,20102.642709574087,43.1344021972733,39.692302555,-105.00659271
92,5742b5593e952e19122e552f,473335.0,62597,17.5,-1779.0,14,75567.75975120999,81.4879061407602,39.7274277732,-105.02576787
93,5742b671864fce1a9abf1d2a,476285.0,102203,20.5,-2542.9999999989996,20,114728.16666314812,121.7651454195398,39.7734379228,-104.98398066600001
94,5742b6c8864fce1a9abf5a48,473335.0,54788,25.5,-1693.5,13,88124.44885335394,102.36049781814,39.739206690500005,-105.02855418700001
95,5742b82e864fce1a9ac03eca,473335.0,7557,2.0,-244.0,2,7873.852227637466,18.796650932520123,39.7462601987,-105.03183276
96,5742b9a2864fce1a9ac145d8,473335.0,17846,3.0,-493.333333333,4,18618.614352868837,21.337877557851435,39.7524870644,-105.040345805
97,5742bb25864fce1a9ac24978,473335.0,11931,2.0,-235.66666666700002,2,7178.879496153565,7.262390339053383,39.7530081707,-105.03990113100001
98,5742ccb8f0fe6e735a215ab1,476185.0,10448,2.0,-385.0,3,17549.168639664716,33.79356289372417,39.828944093400004,-105.05731898299999
99,5742cf23f0fe6e735a22e27f,476185.0,12094,5.0,-317.0,3,5100.464178732962,34.67386616844958,39.8335379021,-105.118595384
100,5742d156864fce1a9ad10f1e,473335.0,37237,4.5,-980.0,8,33255.763290569324,25.978523604748045,39.776019309,-105.04265343700001
101,5742d2d1f0fe6e735a253907,473335.0,20195,6.5,-764.333333334,6,35172.557367569374,12.82485072038727,39.7758966627,-105.043005673
102,5742d3f5f0fe6e735a25e9ea,476185.0,57789,17.5,-2039.0,16,90576.46447494297,95.21353471243788,39.750904057,-105.10883438299999
103,5742d65ff0fe6e735a2778a0,476185.0,69163,19.0,-2000.833333332,16,77998.85127800512,113.39895040733369,39.7271228002,-105.112579792
104,5742d8c9f0fe6e735a28ff09,476185.0,114332,27.5,-3293.999999999999,26,143889.07060596137,186.05657551871295,39.7265812989,-105.108549548
105,5742dcf5f0fe6e735a2bbeea,476185.0,87692,19.5,-2565.499999999,20,117294.88879638197,164.51255666704938,39.7352883976,-105.104194174
106,5742df70f0fe6e735a2d5b2b,476185.0,11934,0.0,-232.0,2,7991.075121989109,14.642447942436089,39.7575895221,-105.10482228299999
107,5742e1df864fce1a9adbca76,476185.0,21303,4.0,-513.0,4,23266.05523901703,42.85556205114062,39.752315050300005,-105.09518064299999
108,5742e4513e952e19124d1aae,476185.0,4058,1.0,-84.0,1,435.22434387164526,2.3053256351384723,39.7707074271,-105.078400408
109,5742e934f0fe6e735a33a2f3,476185.0,81814,19.5,-2556.666666667,20,134697.20643214107,110.27500092359575,39.815307957899996,-105.055597995
110,5743200bf0fe6e735a550e25,476285.0,257936,65.0,-7150.9999999993,57,300160.709349444,528.1076044774896,39.7928131244,-104.992234972
111,574329dff0fe6e735a5afcb7,476512.0,2605,0.5,-136.5,1,8937.440822638153,19.404885351514917,39.6586616498,-105.007982891
112,5743302d864fce1a9a0c1ca6,473335.0,48556,11.0,-1563.8333333330002,12,79080.44589692116,32.69502865368285,39.7847597814,-105.03958692399999
113,574331acf0fe6e735a5fa032,473335.0,24662,3.0,-473.3333333337,4,18944.909479615704,18.120059485164578,39.7899685444,-105.026379568
114,57433365f0fe6e735a60ad87,473335.0,86850,20.0,-2361.333333332,19,94358.40334559343,84.6724924047371,39.8018071133,-105.023955556
115,574334fb864fce1a9a0ef560,473335.0,3357,2.0,-130.0,1,6147.707260525036,10.246129487867496,39.8126579834,-105.01423201700001
116,57434260f0fe6e735a69376f,476185.0,51253,12.0,-2028.5,16,88301.45767648297,110.55031341015109,39.8271809628,-105.05249879600001
117,5743468ef0fe6e735a6b89e4,476285.0,160027,37.0,-4449.833333333,35,196808.62519628453,227.610692326402,39.7881588242,-105.00893455399999
118,57434addf0fe6e735a6dd68f,473335.0,8356,1.0,-135.0,1,8198.099390576212,7.850815575432482,39.802770436100005,-105.00821120399999
119,574350b33e952e19128e203c,473335.0,2841,0.0,-107.0,1,1635.7358768386061,20.466960762786623,39.624407584299995,-104.956607347
120,574352263e952e19128edfe6,473335.0,2841,1.0,-114.0,1,2447.4463428788144,20.466960762786623,39.6104580892,-104.958736865
121,57435955f0fe6e735a757688,476285.0,185385,57.5,-5367.333333333,42,255228.99518617397,321.6436403861201,39.7984695133,-104.994069888
122,57435cc3864fce1a9a24f5a2,473335.0,2841,1.0,-124.0,1,4352.243438716457,20.466960762786623,39.6106205833,-104.95873609799999
123,5743c5d2f0fe6e735aa9abae,473335.0,9392,4.0,-376.666666667,3,15033.201422493727,49.7098132428226,39.6069498275,-104.957889728
124,5743cbc0f0fe6e735aaca8de,473335.0,1086,1.0,-134.0,1,7739.504894546474,25.824740597996904,39.776149155300004,-105.016220573
125,5743cf0ef0fe6e735aae50fe,473335.0,28222,8.0,-523.0,4,26558.36885669762,24.147288132530097,39.7778190641,-105.017030659
126,5743e107f0fe6e735ab7ad70,476317.0,50807,15.0,-1800.333333333,14,85991.41559845288,135.27077306916317,39.8240264589,-105.21678810799999
127,5743e68e3e952e1912d97d40,476285.0,202439,51.5,-5770.833333334001,45,267801.00549895444,403.35087081738095,39.780447395,-104.98103997
128,5743e91f864fce1a9a6b1ed0,476285.0,108423,24.0,-3179.666666667,25,139263.97162410791,125.18819585253152,39.7734120032,-104.984042465
129,57440c24864fce1a9a811db6,476512.0,10335,5.0,-509.66666666599997,4,22456.333470553534,56.121288521702,39.692653065500004,-105.007080767
130,57443ea5f0fe6e735af501a1,476317.0,13525,0.0,-354.0,3,11731.185482685865,33.786495310558124,39.7989202476,-105.170709248
131,574441373e952e1912160287,476317.0,2617,0.0,-139.0,1,10320.795651210681,0.26373867113979566,39.8173946162,-105.071843801
132,57444da0864fce1a9aae8a77,473335.0,54758,16.5,-1916.4999999989998,15,88050.30652235118,63.497371979399105,39.7745975267,-105.035433197
133,574452183e952e191220d244,473335.0,39883,13.5,-1284.3333333330002,10,61496.11317305431,33.62127317391801,39.77615732,-105.04354727299999
134,574494223e952e19124a0a19,473335.0,2189,0.0,-133.0,1,7306.563772764739,4.051636715237554,39.7388462265,-105.028784566
135,574498c1f0fe6e735a2d690a,473335.0,6367,2.0,-257.0,2,11466.189913794246,35.42713461224876,39.6061966138,-104.95761409200001
136,57449a3f864fce1a9ade4ca8,473335.0,2841,1.0,-117.0,1,2908.795430044057,20.466960762786623,39.6104086834,-104.95878584399999
137,5744a66bf0fe6e735a34e642,476314.0,23173,4.0,-491.166666667,4,18696.145306921357,24.867755425645832,39.7546128715,-104.99938987600001
138,5744bd20864fce1a9af0722e,476314.0,16001,4.0,-380.0,3,15419.804157610213,16.466818141526716,39.767309070399996,-105.010634008
139,57452ae4864fce1a9a264870,473335.0,6367,3.5,-251.5,2,11352.035367792698,35.42713461224876,39.6103158052,-104.95888386799999
140,574546e4864fce1a9a351fa8,476314.0,17650,5.0,-484.833333333,4,15652.196357631154,27.552120014801165,39.7702846411,-105.01013506
141,5745499d3e952e1912a50a79,476314.0,46466,16.0,-1195.5,10,40973.5047116165,52.095121316678366,39.7711953587,-105.01064395
142,57454ad3f0fe6e735a859502,476512.0,3025,0.5,-129.0,1,5803.8099035206,14.282678630573844,39.6847257183,-105.000281628
143,57454ff4864fce1a9a3a5c5f,476512.0,7489,3.0,-373.666666667,3,13552.727488554783,43.1344021972733,39.6925387243,-105.00685341
144,574559ec3e952e1912b01deb,476320.0,8932,0.0,-196.0,2,7035.471019933937,12.117461182317662,39.7812472303,-105.07315286
145,57455dc43e952e1912b32503,473502.0,33377,11.0,-876.5,7,39424.15581470349,23.465154130197586,39.7789828501,-105.073018472
146,5745d83b3e952e19120adc97,476512.0,14614,4.5,-652.3333333329999,5,32196.881272317667,63.69683406254197,39.6920601377,-105.00724410299999
147,5745dd3af0fe6e735aece6ba,476512.0,2605,1.0,-124.0,1,4352.243438716457,19.404885351514917,39.6589152837,-105.008205356
148,5745e473864fce1a9aa43161,476318.0,61703,14.5,-1593.6666666659999,13,64657.35342615006,73.71338528307064,39.7832145211,-105.07843965
149,5745e4893e952e1912126e81,476314.0,4056,0.0,-122.0,1,3878.9410477424826,4.628649003613509,39.7673132456,-105.01070918399999
150,5745f2f1f0fe6e735af9aac6,476512.0,34867,5.5,-1023.6666666670001,8,45757.47877906574,99.07725525446729,39.6589129676,-105.00834795799999
151,5745f369f0fe6e735af9eeb8,473335.0,2841,1.0,-118.0,1,3081.1523950528403,20.466960762786623,39.6104632901,-104.958859466
152,5745f528f0fe6e735afadcf5,473335.0,2841,1.0,-123.666666667,1,4269.527801963008,20.466960762786623,39.610235663800005,-104.95862619100001
153,57468f54f0fe6e735a49978e,476197.0,3629,0.0,-105.0,1,1457.8511347714318,270.6768244131938,41.9026451143,-106.58124338100001
154,5746900df0fe6e735a4a0217,476314.0,22982,6.0,-811.5,6,53181.43221111987,30.677514666364196,39.7675568379,-105.011051664
155,57469511864fce1a9a013105,476314.0,20809,3.0,-386.0,3,17395.843711418136,18.23946593086947,39.7688861854,-105.01409262799999
156,57469cec864fce1a9a05bf26,476512.0,2605,1.0,-136.5,1,8937.440822638153,19.404885351514917,39.6591700353,-105.00805943399999
157,57469ed9f0fe6e735a527a81,476314.0,3556,0.5,-125.5,1,4744.748303973604,0.718914736686926,39.7708255,-105.045767471
158,5746a055f0fe6e735a537d25,476318.0,38238,8.5,-1123.5,9,48623.18822314185,27.43405981193842,39.783115403400004,-105.079611035
159,5746a170864fce1a9a0890a3,476512.0,9201,0.0,-379.0,3,15993.308310861976,46.5703933993916,39.6876046189,-105.00331108200001
160,5746a2a83e952e191277976a,476320.0,7456,1.0,-97.0,1,919.8418806428185,0.9301251416610572,39.782096674099996,-105.077619016
161,5746a2b5864fce1a9a094d4b,476318.0,4058,1.0,-87.0,1,517.2651021262654,2.3053256351384723,39.783034167,-105.077311355
162,5746a4523e952e191278a535,476512.0,10335,5.0,-516.333333334,4,25213.96117898797,56.121288521702,39.6926682526,-105.006972978
163,5746a483864fce1a9a0a6a03,476312.0,41953,8.0,-1018.3333333329999,8,45812.95548425861,19.771754596690723,39.782651077800004,-105.07849709700001
164,5746a53df0fe6e735a5683de,476318.0,43976,11.0,-1133.5,9,56330.367407039346,24.84429812667834,39.7791048339,-105.072907644
165,5746a5eff0fe6e735a56f790,476318.0,26613,5.0,-610.0,5,23950.438631023084,9.511841152285331,39.7795852629,-105.072959632
166,5746b4a8f0fe6e735a624aa3,476312.0,64188,18.5,-1842.5,15,66597.67586994478,101.57775426765176,39.795351698699996,-105.073542097
167,5746b7533e952e191286fd35,476312.0,113256,25.5,-3441.833333333,27,157812.75272969567,172.04499817553497,39.796157674899995,-105.073682076
168,5746e0123e952e1912a50565,476285.0,8352,1.0,-124.0,1,4352.243438716457,3.84466494586964,39.7866151087,-104.97965198600001
169,5746e28c864fce1a9a388b5e,476285.0,136640,24.5,-3995.166666667,31,193610.55409731093,221.48759285277836,39.7735523185,-104.98416138200001
170,5746f3073e952e1912b18ebc,476312.0,13816,4.5,-516.1666666670001,4,25085.458922756232,20.452241607612844,39.791017726999996,-105.16157290700001
171,5746f58bf0fe6e735a9028ef,476312.0,8624,5.0,-404.0,3,25484.94337824722,27.318877475383076,39.7917548136,-105.16164586100001
172,5746f819864fce1a9a46e795,476312.0,4058,1.0,-126.0,1,4883.297455854504,2.3053256351384723,39.791479294,-105.16171304
173,5746fd3bf0fe6e735a95463e,476312.0,5054,2.5,-266.666666667,2,14907.20532396797,21.702940950397704,39.791277445300004,-105.161961053
174,5746ffd63e952e1912ba2240,476312.0,3578,2.0,-136.0,1,8683.86731884152,10.515604909741098,39.7922869843,-105.161204982
175,57470242864fce1a9a4db061,476312.0,28083,9.5,-931.0,7,52868.146903728855,61.33957833923138,39.7915572991,-105.161748494
176,574704caf0fe6e735a9a458b,476312.0,11470,2.0,-524.3333333329999,4,27094.120285558067,40.30576379981177,39.791917547,-105.160923844
177,57472374864fce1a9a638580,476285.0,99256,20.5,-3486.6666666672995,27,176481.07119183656,219.7569452941492,39.7966183153,-104.99151125
178,57472534f0fe6e735aaf39e4,476314.0,24219,3.5,-499.5,4,19723.576272866645,23.346542556617138,39.7669948273,-105.012408715
179,57472792864fce1a9a66174d,476314.0,43734,14.5,-1164.0,9,59387.316049372384,34.33227073179953,39.7669311101,-105.012056879
180,5747295c864fce1a9a6733b7,473502.0,22681,9.5,-790.0,7,18666.834408032286,17.211607399306388,39.7821717033,-105.073896657
181,57472cb5f0fe6e735ab3dd60,476314.0,19411,4.5,-500.166666667,4,19907.091541405465,21.573894767274385,39.7677805556,-105.01073891
182,57472e133e952e1912d80bc9,476320.0,58530,16.0,-1544.333333333,12,81770.60201654723,58.963931226675896,39.7829963271,-105.07960939600001
183,57473f97864fce1a9a749dce,476316.0,10840,4.0,-256.0,2,11122.111892349436,40.10921081243443,39.9099843448,-105.16820744799999
184,5747403bf0fe6e735abf6b54,476251.0,26207,5.0,-526.0,4,28873.845887508138,77.38984950611237,39.9086200337,-105.169053749
185,5747421bf0fe6e735ac0795b,476316.0,23156,5.0,-381.0,3,16671.59112114832,62.209068959361446,39.9084082382,-105.168929579
186,574744a03e952e1912e5847c,476316.0,18481,2.5,-404.333333333,3,24520.427730319,54.897210238037665,39.909637036199996,-105.167933901
187,5747455c3e952e1912e5e99f,476251.0,7692,0.0,-137.0,1,9198.418806428195,18.833866332411276,39.9086848971,-105.167959326
188,57474695864fce1a9a78a13a,476512.0,5630,4.0,-266.0,2,15493.446672473341,33.68756398208876,39.6587694527,-105.008328564
189,574757a0f0fe6e735acc75dc,476318.0,37458,10.5,-1104.0,9,41421.83095389764,35.433972891796316,39.782855593200004,-105.07963870299999
190,57478eb93e952e19120c305f,476312.0,34359,15.0,-1431.0,11,72096.70328379859,91.21735352800708,39.7956824651,-105.13552360899999
191,57479155864fce1a9a9fde2e,476312.0,32576,10.5,-1046.0,8,53536.33374428652,51.062977768271196,39.7957882685,-105.13541375700001
192,5747e872f0fe6e735a139c55,476185.0,31971,11.0,-1014.8333333329999,8,45804.239533086824,34.577751995343725,39.823881899999996,-105.054023089
193,5747eab5f0fe6e735a14d638,476185.0,68236,22.5,-2545.000000001,20,121214.84818819875,118.28441602375496,39.8178322143,-105.050739666
194,5747ee663e952e19123ba4ad,476512.0,4884,2.0,-254.0,2,10620.764571574935,23.72951684575839,39.6923182802,-105.006718714
195,5747eff23e952e19123c7164,476185.0,85730,22.0,-2665.0,21,114261.7070335269,156.58544540473227,39.8271869414,-105.052681374
196,5747f145f0fe6e735a188b9d,476512.0,7489,2.5,-378.666666667,3,15125.578940675337,43.1344021972733,39.692619455999996,-105.006984206
197,5747f448f0fe6e735a1a522f,476316.0,34009,12.5,-1085.1666666663,9,39060.69565926444,140.08966570620322,39.9004202593,-105.213757354
